InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID
539087,85099B,JUMBO BAG RED RETROSPOT,100,16-12-2010 09:44,1.65,13093
539094,85099B,JUMBO BAG RED RETROSPOT,10,16-12-2010 10:12,1.95,13021
539217,85099B,JUMBO BAG RED RETROSPOT,20,16-12-2010 12:46,1.95,15394
539249,85099B,JUMBO BAG RED RETROSPOT,20,16-12-2010 13:43,1.95,14709
539255,85099B,JUMBO BAG RED RETROSPOT,10,16-12-2010 14:26,1.95,16316
539267,85099B,JUMBO BAG RED RETROSPOT,10,16-12-2010 15:23,1.95,13534
539290,85099B,JUMBO BAG RED RETROSPOT,10,16-12-2010 16:36,1.95,16271
539351,85099B,JUMBO BAG RED RETROSPOT,10,17-12-2010 11:23,1.95,12551
539419,85099B,JUMBO BAG RED RETROSPOT,10,17-12-2010 14:10,1.95,12431
539422,85099B,JUMBO BAG RED RETROSPOT,10,17-12-2010 14:23,1.95,13033
539434,85099B,JUMBO BAG RED RETROSPOT,1,17-12-2010 14:41,4.21,
539436,85099B,JUMBO BAG RED RETROSPOT,3,17-12-2010 14:49,4.21,
539437,85099B,JUMBO BAG RED RETROSPOT,4,17-12-2010 14:54,4.21,
539451,85099B,JUMBO BAG RED RETROSPOT,1,17-12-2010 16:59,4.21,
539453,85099B,JUMBO BAG RED RETROSPOT,6,17-12-2010 17:08,4.21,
539469,85099B,JUMBO BAG RED RETROSPOT,1,19-12-2010 13:59,1.95,17841
539570,85099B,JUMBO BAG RED RETROSPOT,20,20-12-2010 12:05,1.95,15078
539588,85099B,JUMBO BAG RED RETROSPOT,2,20-12-2010 13:11,1.95,14527
539595,85099B,JUMBO BAG RED RETROSPOT,1,20-12-2010 13:43,4.21,
539630,85099B,JUMBO BAG RED RETROSPOT,20,20-12-2010 14:59,1.95,17230
539631,85099B,JUMBO BAG RED RETROSPOT,4,20-12-2010 15:03,4.21,
539666,85099B,JUMBO BAG RED RETROSPOT,100,21-12-2010 10:41,1.65,16029
539722,85099B,JUMBO BAG RED RETROSPOT,10,21-12-2010 13:45,1.95,14911
539737,85099B,JUMBO BAG RED RETROSPOT,3,21-12-2010 15:19,4.21,
539739,85099B,JUMBO BAG RED RETROSPOT,1,21-12-2010 15:19,4.21,
539740,85099B,JUMBO BAG RED RETROSPOT,7,21-12-2010 15:20,4.21,
539747,85099B,JUMBO BAG RED RETROSPOT,1,21-12-2010 15:23,4.21,
539856,85099B,JUMBO BAG RED RETROSPOT,1,22-12-2010 14:41,0,
C539950,85099B,JUMBO BAG RED RETROSPOT,-10,23-12-2010 11:50,1.95,13534
539958,85099B,JUMBO BAG RED RETROSPOT,1,23-12-2010 13:26,4.21,
539981,85099B,JUMBO BAG RED RETROSPOT,10,23-12-2010 14:35,1.95,13304
539993,85099B,JUMBO BAG RED RETROSPOT,10,04-01-2011 10:00,1.95,13313
540021,85099B,JUMBO BAG RED RETROSPOT,4,04-01-2011 12:51,1.95,17841
540099,85099B,JUMBO BAG RED RETROSPOT,13,04-01-2011 16:41,1.95,15808
540149,85099B,JUMBO BAG RED RETROSPOT,30,05-01-2011 11:00,1.95,12921
540157,85099B,JUMBO BAG RED RETROSPOT,100,05-01-2011 11:41,1.65,15311
540166,85099B,JUMBO BAG RED RETROSPOT,200,05-01-2011 12:09,1.65,13629
540168,85099B,JUMBO BAG RED RETROSPOT,6,05-01-2011 12:15,1.95,13715
540176,85099B,JUMBO BAG RED RETROSPOT,100,05-01-2011 12:40,1.65,17511
540268,85099B,JUMBO BAG RED RETROSPOT,10,06-01-2011 11:25,1.95,13458
540275,85099B,JUMBO BAG RED RETROSPOT,100,06-01-2011 12:11,1.65,13680
540276,85099B,JUMBO BAG RED RETROSPOT,100,06-01-2011 12:16,1.65,14680
540277,85099B,JUMBO BAG RED RETROSPOT,100,06-01-2011 12:18,1.65,14258
540278,85099B,JUMBO BAG RED RETROSPOT,13,06-01-2011 12:31,1.95,15719
540349,85099B,JUMBO BAG RED RETROSPOT,10,06-01-2011 14:07,1.95,15379
540350,85099B,JUMBO BAG RED RETROSPOT,2,06-01-2011 14:14,1.95,18283
540353,85099B,JUMBO BAG RED RETROSPOT,3,06-01-2011 14:53,1.95,13764
540359,85099B,JUMBO BAG RED RETROSPOT,6,06-01-2011 15:29,1.95,18041
540365,85099B,JUMBO BAG RED RETROSPOT,10,06-01-2011 16:12,1.95,12413
540406,85099B,JUMBO BAG RED RETROSPOT,100,07-01-2011 09:53,1.65,13798
540410,85099B,JUMBO BAG RED RETROSPOT,10,07-01-2011 10:04,1.95,12530
C540417,85099B,JUMBO BAG RED RETROSPOT,-100,07-01-2011 10:56,1.65,13680
540468,85099B,JUMBO BAG RED RETROSPOT,4,07-01-2011 13:55,4.21,
540478,85099B,JUMBO BAG RED RETROSPOT,400,07-01-2011 14:53,1.65,15769
540520,85099B,JUMBO BAG RED RETROSPOT,2,09-01-2011 12:31,1.95,17555
540525,85099B,JUMBO BAG RED RETROSPOT,10,09-01-2011 13:02,1.95,16833
540529,85099B,JUMBO BAG RED RETROSPOT,20,09-01-2011 13:50,1.95,16748
540530,85099B,JUMBO BAG RED RETROSPOT,10,09-01-2011 14:02,1.95,14755
540538,85099B,JUMBO BAG RED RETROSPOT,1,09-01-2011 14:36,1.95,17841
540551,85099B,JUMBO BAG RED RETROSPOT,1,10-01-2011 09:43,4.21,
540568,85099B,JUMBO BAG RED RETROSPOT,10,10-01-2011 11:22,1.95,15039
540640,85099B,JUMBO BAG RED RETROSPOT,3,10-01-2011 12:36,1.95,14527
540642,85099B,JUMBO BAG RED RETROSPOT,10,10-01-2011 13:22,1.95,12681
540644,85099B,JUMBO BAG RED RETROSPOT,30,10-01-2011 14:16,1.95,16303
540681,85099B,JUMBO BAG RED RETROSPOT,3,10-01-2011 16:25,4.21,
540821,85099B,JUMBO BAG RED RETROSPOT,1,11-01-2011 13:16,4.21,
540848,85099B,JUMBO BAG RED RETROSPOT,1,12-01-2011 09:26,4.21,
540977,85099B,JUMBO BAG RED RETROSPOT,3,12-01-2011 15:01,4.21,
540995,85099B,JUMBO BAG RED RETROSPOT,1,13-01-2011 09:30,4.13,
540996,85099B,JUMBO BAG RED RETROSPOT,10,13-01-2011 09:40,1.95,17068
541003,85099B,JUMBO BAG RED RETROSPOT,10,13-01-2011 10:35,1.95,15835
541005,85099B,JUMBO BAG RED RETROSPOT,4,13-01-2011 10:39,1.95,16161
541104,85099B,JUMBO BAG RED RETROSPOT,8,13-01-2011 14:29,4.13,
541120,85099B,JUMBO BAG RED RETROSPOT,10,14-01-2011 09:13,1.95,12490
541121,85099B,JUMBO BAG RED RETROSPOT,10,14-01-2011 09:20,1.95,12672
541129,85099B,JUMBO BAG RED RETROSPOT,2,14-01-2011 10:14,4.13,
541130,85099B,JUMBO BAG RED RETROSPOT,7,14-01-2011 10:15,4.13,
541131,85099B,JUMBO BAG RED RETROSPOT,1,14-01-2011 10:16,4.13,
541132,85099B,JUMBO BAG RED RETROSPOT,3,14-01-2011 10:17,4.13,
541133,85099B,JUMBO BAG RED RETROSPOT,14,14-01-2011 10:17,4.13,
541134,85099B,JUMBO BAG RED RETROSPOT,20,14-01-2011 10:20,1.95,15615
541138,85099B,JUMBO BAG RED RETROSPOT,10,14-01-2011 10:42,1.95,12553
541139,85099B,JUMBO BAG RED RETROSPOT,10,14-01-2011 11:05,1.95,15213
541202,85099B,JUMBO BAG RED RETROSPOT,20,14-01-2011 12:09,1.95,17581
541215,85099B,JUMBO BAG RED RETROSPOT,10,14-01-2011 13:42,1.95,14329
541219,85099B,JUMBO BAG RED RETROSPOT,3,14-01-2011 14:06,4.13,
541256,85099B,JUMBO BAG RED RETROSPOT,10,16-01-2011 14:36,1.95,13048
541279,85099B,JUMBO BAG RED RETROSPOT,10,17-01-2011 11:55,1.95,18223
541285,85099B,JUMBO BAG RED RETROSPOT,10,17-01-2011 12:45,1.95,13001
541411,85099B,JUMBO BAG RED RETROSPOT,5,17-01-2011 16:07,1.95,17961
541421,85099B,JUMBO BAG RED RETROSPOT,2,17-01-2011 17:44,4.13,
541422,85099B,JUMBO BAG RED RETROSPOT,5,17-01-2011 17:48,4.13,
541423,85099B,JUMBO BAG RED RETROSPOT,1,17-01-2011 17:54,4.13,
541424,85099B,JUMBO BAG RED RETROSPOT,4,17-01-2011 17:57,4.13,
541428,85099B,JUMBO BAG RED RETROSPOT,10,18-01-2011 08:53,1.95,14242
541429,85099B,JUMBO BAG RED RETROSPOT,10,18-01-2011 09:44,1.95,14688
541474,85099B,JUMBO BAG RED RETROSPOT,50,18-01-2011 11:51,1.95,16997
541489,85099B,JUMBO BAG RED RETROSPOT,3,18-01-2011 13:38,1.95,15023
541495,85099B,JUMBO BAG RED RETROSPOT,1,18-01-2011 14:59,4.13,
541496,85099B,JUMBO BAG RED RETROSPOT,5,18-01-2011 15:00,4.13,
541497,85099B,JUMBO BAG RED RETROSPOT,2,18-01-2011 15:19,4.13,
541506,85099B,JUMBO BAG RED RETROSPOT,4,18-01-2011 16:05,4.13,
541507,85099B,JUMBO BAG RED RETROSPOT,1,18-01-2011 16:05,4.13,
541508,85099B,JUMBO BAG RED RETROSPOT,1,18-01-2011 16:06,4.13,
541518,85099B,JUMBO BAG RED RETROSPOT,20,19-01-2011 09:05,1.95,12451
541552,85099B,JUMBO BAG RED RETROSPOT,10,19-01-2011 11:15,1.95,15039
541565,85099B,JUMBO BAG RED RETROSPOT,10,19-01-2011 11:48,1.95,14527
541570,85099B,JUMBO BAG RED RETROSPOT,200,19-01-2011 12:34,1.65,14646
541584,85099B,JUMBO BAG RED RETROSPOT,2,19-01-2011 14:12,4.13,
541658,85099B,JUMBO BAG RED RETROSPOT,1,20-01-2011 12:16,1.95,15529
541695,85099B,JUMBO BAG RED RETROSPOT,1,20-01-2011 18:01,4.13,
541698,85099B,JUMBO BAG RED RETROSPOT,2,20-01-2011 19:16,1.95,14713
541711,85099B,JUMBO BAG RED RETROSPOT,100,21-01-2011 11:18,1.65,14646
541810,85099B,JUMBO BAG RED RETROSPOT,5,21-01-2011 15:00,4.13,
541811,85099B,JUMBO BAG RED RETROSPOT,9,21-01-2011 15:01,4.13,
541816,85099B,JUMBO BAG RED RETROSPOT,4,21-01-2011 15:56,1.95,17799
541830,85099B,JUMBO BAG RED RETROSPOT,6,21-01-2011 17:09,4.13,
C541863,85099B,JUMBO BAG RED RETROSPOT,-6,23-01-2011 16:08,1.65,13798
541864,85099B,JUMBO BAG RED RETROSPOT,100,23-01-2011 16:17,1.65,13798
541870,85099B,JUMBO BAG RED RETROSPOT,1,24-01-2011 09:39,4.13,
541871,85099B,JUMBO BAG RED RETROSPOT,1,24-01-2011 09:41,4.13,
541875,85099B,JUMBO BAG RED RETROSPOT,10,24-01-2011 10:01,1.95,16558
541879,85099B,JUMBO BAG RED RETROSPOT,2,24-01-2011 10:31,4.13,
541977,85099B,JUMBO BAG RED RETROSPOT,20,24-01-2011 14:44,1.95,15078
541986,85099B,JUMBO BAG RED RETROSPOT,20,24-01-2011 15:59,1.95,17001
541987,85099B,JUMBO BAG RED RETROSPOT,2,24-01-2011 16:05,1.95,14130
541992,85099B,JUMBO BAG RED RETROSPOT,100,25-01-2011 09:31,1.65,16029
541999,85099B,JUMBO BAG RED RETROSPOT,1,25-01-2011 10:45,4.13,
542002,85099B,JUMBO BAG RED RETROSPOT,20,25-01-2011 10:57,1.65,14298
542003,85099B,JUMBO BAG RED RETROSPOT,100,25-01-2011 11:07,1.65,15311
542005,85099B,JUMBO BAG RED RETROSPOT,10,25-01-2011 11:18,1.95,14409
542006,85099B,JUMBO BAG RED RETROSPOT,20,25-01-2011 11:20,1.95,15218
542080,85099B,JUMBO BAG RED RETROSPOT,10,25-01-2011 12:16,1.95,13815
C542092,85099B,JUMBO BAG RED RETROSPOT,-2,25-01-2011 12:45,1.95,14389
542093,85099B,JUMBO BAG RED RETROSPOT,100,25-01-2011 12:46,1.65,17677
542102,85099B,JUMBO BAG RED RETROSPOT,10,25-01-2011 13:26,1.95,12744
542113,85099B,JUMBO BAG RED RETROSPOT,10,25-01-2011 13:55,1.95,14341
542115,85099B,JUMBO BAG RED RETROSPOT,2,25-01-2011 14:01,4.13,
542122,85099B,JUMBO BAG RED RETROSPOT,10,25-01-2011 14:36,1.95,17082
542252,85099B,JUMBO BAG RED RETROSPOT,1,26-01-2011 16:01,4.13,
542275,85099B,JUMBO BAG RED RETROSPOT,10,27-01-2011 10:18,1.95,13089
542320,85099B,JUMBO BAG RED RETROSPOT,20,27-01-2011 11:15,1.95,14040
542344,85099B,JUMBO BAG RED RETROSPOT,1,27-01-2011 11:30,4.13,
542354,85099B,JUMBO BAG RED RETROSPOT,10,27-01-2011 12:19,1.95,14709
542370,85099B,JUMBO BAG RED RETROSPOT,10,27-01-2011 13:23,1.95,13004
542541,85099B,JUMBO BAG RED RETROSPOT,1,28-01-2011 14:25,4.13,
542624,85099B,JUMBO BAG RED RETROSPOT,9,31-01-2011 09:48,4.13,
542662,85099B,JUMBO BAG RED RETROSPOT,10,31-01-2011 12:10,1.95,18145
542664,85099B,JUMBO BAG RED RETROSPOT,2,31-01-2011 12:14,4.13,
542667,85099B,JUMBO BAG RED RETROSPOT,10,31-01-2011 12:16,1.95,17068
542715,85099B,JUMBO BAG RED RETROSPOT,10,31-01-2011 13:39,1.95,16403
542724,85099B,JUMBO BAG RED RETROSPOT,10,31-01-2011 14:59,1.95,16779
542737,85099B,JUMBO BAG RED RETROSPOT,1,31-01-2011 15:52,1.95,15058
542777,85099B,JUMBO BAG RED RETROSPOT,10,01-02-2011 08:31,1.95,14911
542780,85099B,JUMBO BAG RED RETROSPOT,10,01-02-2011 09:38,1.95,17675
542789,85099B,JUMBO BAG RED RETROSPOT,100,01-02-2011 10:38,1.65,17511
542790,85099B,JUMBO BAG RED RETROSPOT,10,01-02-2011 10:38,1.95,16612
542791,85099B,JUMBO BAG RED RETROSPOT,20,01-02-2011 10:47,1.95,15039
542836,85099B,JUMBO BAG RED RETROSPOT,6,01-02-2011 11:31,1.95,16745
542864,85099B,JUMBO BAG RED RETROSPOT,100,01-02-2011 12:03,1.65,13802
542870,85099B,JUMBO BAG RED RETROSPOT,10,01-02-2011 12:29,1.95,15203
542887,85099B,JUMBO BAG RED RETROSPOT,10,01-02-2011 13:10,1.95,12373
542895,85099B,JUMBO BAG RED RETROSPOT,3,01-02-2011 13:47,1.95,14549
542906,85099B,JUMBO BAG RED RETROSPOT,3,01-02-2011 15:12,4.13,
C542910,85099B,JUMBO BAG RED RETROSPOT,-1,01-02-2011 15:38,1.65,17511
542914,85099B,JUMBO BAG RED RETROSPOT,8,01-02-2011 16:03,1.95,16161
542919,85099B,JUMBO BAG RED RETROSPOT,100,01-02-2011 16:47,1.95,15971
542920,85099B,JUMBO BAG RED RETROSPOT,100,02-02-2011 07:51,1.65,13629
542929,85099B,JUMBO BAG RED RETROSPOT,20,02-02-2011 10:34,1.95,17811
542999,85099B,JUMBO BAG RED RETROSPOT,2,02-02-2011 12:16,4.13,
543000,85099B,JUMBO BAG RED RETROSPOT,1,02-02-2011 12:17,4.13,
543013,85099B,JUMBO BAG RED RETROSPOT,1,02-02-2011 13:35,4.13,
543015,85099B,JUMBO BAG RED RETROSPOT,20,02-02-2011 13:46,1.95,14188
543016,85099B,JUMBO BAG RED RETROSPOT,100,02-02-2011 13:57,1.65,18017
543024,85099B,JUMBO BAG RED RETROSPOT,36,02-02-2011 14:39,1.65,13777
543032,85099B,JUMBO BAG RED RETROSPOT,30,02-02-2011 15:39,1.95,12990
543099,85099B,JUMBO BAG RED RETROSPOT,100,03-02-2011 12:00,1.65,16684
543111,85099B,JUMBO BAG RED RETROSPOT,16,03-02-2011 12:44,1.95,15719
543123,85099B,JUMBO BAG RED RETROSPOT,10,03-02-2011 14:08,1.95,18178
543171,85099B,JUMBO BAG RED RETROSPOT,1,04-02-2011 09:11,4.13,
543172,85099B,JUMBO BAG RED RETROSPOT,5,04-02-2011 09:11,4.13,
543182,85099B,JUMBO BAG RED RETROSPOT,4,04-02-2011 10:40,4.13,
543200,85099B,JUMBO BAG RED RETROSPOT,1,04-02-2011 13:03,4.13,
543201,85099B,JUMBO BAG RED RETROSPOT,1,04-02-2011 13:03,4.13,
543245,85099B,JUMBO BAG RED RETROSPOT,1,04-02-2011 14:08,1.95,16725
543251,85099B,JUMBO BAG RED RETROSPOT,10,04-02-2011 14:51,1.95,14194
543273,85099B,JUMBO BAG RED RETROSPOT,30,06-02-2011 11:29,1.95,16456
543277,85099B,JUMBO BAG RED RETROSPOT,20,06-02-2011 14:33,1.95,15808
543279,85099B,JUMBO BAG RED RETROSPOT,4,06-02-2011 14:46,1.95,17105
543280,85099B,JUMBO BAG RED RETROSPOT,10,06-02-2011 14:56,1.95,14438
543300,85099B,JUMBO BAG RED RETROSPOT,10,07-02-2011 11:42,1.95,13334
543367,85099B,JUMBO BAG RED RETROSPOT,20,07-02-2011 14:33,1.95,18225
543391,85099B,JUMBO BAG RED RETROSPOT,10,08-02-2011 10:12,1.95,14475
543398,85099B,JUMBO BAG RED RETROSPOT,20,08-02-2011 10:47,1.95,16458
543451,85099B,JUMBO BAG RED RETROSPOT,2,08-02-2011 12:13,4.13,
543461,85099B,JUMBO BAG RED RETROSPOT,1,08-02-2011 13:35,4.13,
543467,85099B,JUMBO BAG RED RETROSPOT,3,08-02-2011 14:35,4.13,
543474,85099B,JUMBO BAG RED RETROSPOT,3,08-02-2011 15:09,1.95,14415
543478,85099B,JUMBO BAG RED RETROSPOT,100,08-02-2011 15:38,1.65,13798
543484,85099B,JUMBO BAG RED RETROSPOT,10,09-02-2011 10:11,1.95,12721
543530,85099B,JUMBO BAG RED RETROSPOT,1,09-02-2011 12:46,4.13,
543532,85099B,JUMBO BAG RED RETROSPOT,2,09-02-2011 12:59,4.13,
543533,85099B,JUMBO BAG RED RETROSPOT,5,09-02-2011 13:00,4.13,
543534,85099B,JUMBO BAG RED RETROSPOT,10,09-02-2011 13:25,1.95,13590
543536,85099B,JUMBO BAG RED RETROSPOT,5,09-02-2011 13:41,1.95,
543546,85099B,JUMBO BAG RED RETROSPOT,3,09-02-2011 16:52,4.13,
543746,85099B,JUMBO BAG RED RETROSPOT,10,11-02-2011 13:50,1.95,17675
543759,85099B,JUMBO BAG RED RETROSPOT,30,11-02-2011 15:12,1.95,12921
543777,85099B,JUMBO BAG RED RETROSPOT,3,11-02-2011 16:20,1.95,15406
543800,85099B,JUMBO BAG RED RETROSPOT,30,13-02-2011 11:36,1.95,17282
543808,85099B,JUMBO BAG RED RETROSPOT,10,13-02-2011 13:22,1.95,17454
543821,85099B,JUMBO BAG RED RETROSPOT,10,14-02-2011 09:24,1.95,17667
543828,85099B,JUMBO BAG RED RETROSPOT,10,14-02-2011 09:45,1.95,14156
543831,85099B,JUMBO BAG RED RETROSPOT,400,14-02-2011 09:57,1.65,15769
543916,85099B,JUMBO BAG RED RETROSPOT,6,14-02-2011 13:22,1.95,
543985,85099B,JUMBO BAG RED RETROSPOT,2,15-02-2011 09:44,4.13,
543990,85099B,JUMBO BAG RED RETROSPOT,30,15-02-2011 09:59,1.95,15122
543993,85099B,JUMBO BAG RED RETROSPOT,10,15-02-2011 10:40,1.95,17612
544051,85099B,JUMBO BAG RED RETROSPOT,10,15-02-2011 12:40,1.95,16700
